id,person_id,cluster_id,created_at,updated_at
88,119,1,2019-11-22 05:24:41.318801,2019-11-22 05:24:41.318801
89,120,1,2019-11-22 05:26:01.939107,2019-11-22 05:26:01.939107
90,121,1,2019-11-22 05:26:37.347608,2019-11-22 05:26:37.347608
91,122,1,2019-11-22 05:26:56.207881,2019-11-22 05:26:56.207881
92,123,1,2019-11-22 05:27:07.237114,2019-11-22 05:27:07.237114
93,124,1,2019-11-22 05:27:23.980525,2019-11-22 05:27:23.980525
94,125,1,2019-11-22 19:22:39.435486,2019-11-22 19:22:39.435486
95,126,1,2019-11-26 15:19:55.428623,2019-11-26 15:19:55.428623
96,127,1,2019-11-27 03:49:31.553693,2019-11-27 03:49:31.553693
97,128,1,2019-11-27 04:33:33.523491,2019-11-27 04:33:33.523491
98,129,1,2019-11-27 04:36:44.4692,2019-11-27 04:36:44.4692
100,131,1,2019-12-02 18:34:10.946999,2019-12-02 18:34:10.946999
101,132,1,2019-12-02 18:41:05.502225,2019-12-02 18:41:05.502225
102,133,1,2019-12-02 18:41:22.228488,2019-12-02 18:41:22.228488
103,134,1,2019-12-02 18:41:33.133331,2019-12-02 18:41:33.133331
104,135,1,2019-12-02 18:41:59.425305,2019-12-02 18:41:59.425305
105,136,1,2019-12-02 18:44:34.343957,2019-12-02 18:44:34.343957
106,137,1,2019-12-02 23:36:19.845448,2019-12-02 23:36:19.845448
107,138,1,2019-12-02 23:36:35.814868,2019-12-02 23:36:35.814868
108,139,1,2019-12-03 00:40:13.809072,2019-12-03 00:40:13.809072
109,140,1,2019-12-05 04:10:32.519488,2019-12-05 04:10:32.519488
110,10,2,2019-12-05 04:11:12.098823,2019-12-05 04:11:12.098823
111,141,1,2019-12-05 04:23:45.131287,2019-12-05 04:23:45.131287
112,142,1,2019-12-05 04:24:06.772653,2019-12-05 04:24:06.772653
113,130,2,2019-12-05 13:21:37.325847,2019-12-05 13:21:37.325847
114,143,1,2019-12-16 13:42:59.907444,2019-12-16 13:42:59.907444
115,144,1,2019-12-16 14:07:36.355005,2019-12-16 14:07:36.355005
116,145,1,2019-12-16 14:07:53.875788,2019-12-16 14:07:53.875788
117,146,1,2019-12-16 14:08:05.392538,2019-12-16 14:08:05.392538
118,147,1,2019-12-16 14:08:20.986924,2019-12-16 14:08:20.986924
119,148,1,2019-12-16 14:08:36.581554,2019-12-16 14:08:36.581554
120,149,1,2019-12-16 14:08:50.553527,2019-12-16 14:08:50.553527
121,150,1,2019-12-30 18:59:21.810812,2019-12-30 18:59:21.810812
122,151,1,2020-01-10 13:19:46.326652,2020-01-10 13:19:46.326652
123,152,1,2020-01-15 14:55:26.715819,2020-01-15 14:55:26.715819
124,153,5,2020-01-24 13:14:09.561431,2020-01-24 13:14:09.561431
